N_LAYERS N_WIRES loss MSE_ref
1 2 0.19476655367071316 0.00018993823717284813
1 4 0.08916673880877957 4.148970891530767e-05
1 6 3.917589515261692e-05 1.0322354971536247e-05
1 8 1.7480217547732072e-05 1.0287201146588192e-05
3 2 0.08315834007586466 4.3246416767157954e-05
3 4 2.8032915894615875e-05 1.024625118111055e-05
3 6 1.0181089488230016e-05 1.0307218755885756e-05
3 8 4.2561005308205794e-05 1.026088786350826e-05
5 2 0.1915672261143632 0.00021945388662461223
5 4 0.00015226374828935773 1.0216222515284796e-05
5 6 2.498148308786158e-05 1.024536830248969e-05
5 8 2.3899063556190204e-05 1.028174326345775e-05
7 2 0.29039613868484304 0.00035742443705407594
7 4 0.00013101764697891322 1.0255686443694234e-05
7 6 1.9818710966163115e-05 1.0336540474998668e-05
7 8 2.8525924666367968e-05 1.0268085770357446e-05
10 2 1.48001559e-01 2.33367022e-04
10 4 1.50006078e-04 1.03128934e-05
10 6 1.45988226e-05 1.03049670e-05
10 8 9.38390994e-06 1.03047619e-05
