N_LAYERS N_WIRES loss MSE_ref
1 2 12.6759371463436 0.5406403015201088
1 4 7.555667517525734 0.4201275034178629
1 6 7.053227367183967 0.4280438383221994
1 8 5.8337567366223375 0.3916894738155434
3 2 5.160726710130711 0.4311726274929415
3 4 0.3300246471679356 0.0005851160965637574
3 6 0.0028285932369232062 0.00012732996368455989
3 8 0.0028841377709599783 0.00017946508795291618
5 2 5.160726861064133 0.43117239617764064
5 4 0.32034744254697956 0.00013162915859382963
5 6 6.376061209854502e-06 1.0917435339820715e-05
5 8 3.9868660102138945e-06 4.562525212496242e-05
7 2 5.160726788142045 0.4311727726053969
7 4 0.320347335288135 0.0001316532767642873
7 6 2.1241120425579362e-05 1.1650940106537625e-05
7 8 6.572570113756074e-06 0.00014077208433954617
10 2 5.16072704388602 0.43118046321293874
10 4 0.32034738688471237 0.00013164928154820677
10 6 9.539153688460734e-06 1.0982923516437583e-05
10 8 1.5953689532370564e-05 0.0005046483824715655
