N_LAYERS,loss_values,mse_ref_values,loss_values_basis,mse_ref_values_basis
5,8.142108184393607,0.07828995360990951,0.06317613270940825,0.16411983814008008
5,8.167035466521591,0.08067350759637223,0.30353924322813697,0.032061965518764717
5,8.142945916776284,0.07957877281410042,0.09468059378114191,0.18985653259303537
5,8.138898506722967,0.0783616936906245,0.012093034965459992,0.011453759512996166
5,8.146106874986524,0.07822471659135585,0.018527367743253365,0.028923604922742242
10,7.021007745460546,0.083899999348168,0.021049390141010704,0.0285255794626052
10,7.021514171003652,0.09143325473403399,0.005030785376483493,0.0038323736089267207
10,7.022741501613247,0.08158268967083761,0.008777412493600423,0.010329850294405083
10,7.0202298759794886,0.08025736960709372,0.1626933359868019,0.015249972893984687
10,7.014493922769498,0.07777095074903825,0.2743087179154884,0.15711788356621065
25,0.0013934047401562566,5.323331460790686e-06,0.03188639594775999,0.06892161674346473
25,0.0007473956022554518,4.55330997211288e-06,0.00015806880074364926,1.0364304218407135e-06
25,0.0013436562220281445,7.049097170458663e-06,0.01905316013963443,0.02807996687511249
25,0.0007899078508728508,4.652294335132931e-06,0.005223714808749946,0.0038447721676650405
25,0.0008522993917736699,5.323117575750361e-06,0.034771719347100216,0.07079643601085492
50,0.00013790060224927458,1.4205011006632911e-06,5.8402987320960165e-05,5.657107830557713e-07
50,0.00011459267254032568,1.3972387345149188e-06,0.018849926237672676,0.028316052877545683
50,0.000226789148342732,2.512800575369361e-06,0.02019901348169384,0.028294778955463343
50,8.039434604967255e-05,1.1566184566717182e-06,0.06190522087812411,0.16419561154475226
50,0.00014395722974747116,1.280238309602713e-06,0.07922100214693728,0.025138257492502786
75,7.372291415919108e-05,8.085712654532385e-07,0.00030481978124363707,2.654365076638641e-06
75,5.036960028270698e-05,6.496936363935746e-07,0.005334904261530937,0.0038665190850960523
75,5.9206736276351535e-05,1.019312825906706e-06,0.2773348553933843,0.15787854159237477
75,3.401893544641155e-05,4.3213444055628683e-07,0.009623265844005857,0.010500320436371587
75,0.000183233778111358,1.849926826781164e-06,0.08533677090977676,0.026047269521271375
100,2.0522173239001518e-05,2.6712603033455693e-07,0.15885097981161067,0.015532878920889117
100,2.059978411494967e-05,1.706871659819269e-07,0.01949600485170322,0.028670276910068074
100,1.7836415651117932e-05,2.645864119950162e-07,0.0002553521937045389,1.8809074950524983e-06
100,0.00012749917596011073,1.4976064704499304e-06,0.14816308257770494,0.06299497502063829
100,3.233260804336169e-05,3.6381037781972245e-07,0.0105403602637697,0.011344403594394837

