x u_shots_1shot u_shots_10shots u_shots_100shots u_shots_1000shots u_shots_10000shots u_shots_100000shots u_noise_shots_1shot u_noise_shots_10shots u_noise_shots_100shots u_noise_shots_1000shots u_noise_shots_10000shots u_noise_shots_100000shots u_real_1shot u_real_10shots u_real_100shots u_real_1000shots u_real_10000shots u_real_100000shots
0.0 -2.0 0.0 -0.32 -0.152 -0.1822 -0.15492 0.0 1.0000000000000002 0.18 -0.222 -0.1502 -0.1511 -4.0 -1.1102230246251565e-16 -0.05999999999999998 -0.23 -0.014200000000000004 0.013079999999999987
0.44879895 -2.0 -0.8 -0.16 -0.458 -0.4438 -0.4639 0.0 -0.4 -0.5800000000000001 -0.37600000000000006 -0.4118 -0.41916 2.0 0.0 -0.38 -0.504 -0.36019999999999996 -0.17238
0.8975979 0.0 -0.2 -0.9000000000000001 -0.884 -0.7688 -0.78702 -2.0 -0.20000000000000007 -0.9199999999999999 -0.788 -0.6708 -0.69148 -2.0 -0.4 -0.8 -0.782 -0.5628 -0.5532400000000001
1.3463969 -2.0 -0.19999999999999996 -0.84 -0.91 -0.9952000000000001 -0.97086 0.0 -1.2 -0.7 -0.864 -0.8552 -0.8474200000000001 0.0 -1.2 -0.8600000000000001 -0.888 -0.8878 -0.41358
1.7951958 2.0 -0.4 -0.96 -0.8200000000000001 -0.8636 -0.8359399999999999 0.0 -0.4000000000000001 -1.02 -0.6859999999999999 -0.7268000000000001 -0.7327 2.0 0.6000000000000001 -0.6599999999999999 -0.932 -0.6572 -0.6412599999999999
2.2439947 -2.0 -0.6000000000000001 -0.5800000000000001 -0.528 -0.5372 -0.5362000000000001 0.0 0.19999999999999996 -0.4 -0.486 -0.4334 -0.459 0.0 0.6 -0.28 -0.24 -0.5272 -0.52796
2.6927938 0.0 0.0 -0.36000000000000004 -0.348 -0.3654 -0.37922 2.0 -0.6000000000000001 -0.54 -0.24599999999999997 -0.2978 -0.31048 -2.0 -1.0 -0.44 -0.148 -0.2436 -0.25467999999999996
3.1415927 -2.0 0.0 -0.21999999999999997 -0.344 -0.3724 -0.40214 0.0 -0.8 -0.42 -0.318 -0.3096 -0.31786000000000003 -2.0 -0.2 -0.07999999999999999 -0.422 -0.26759999999999995 -0.28397999999999995
3.5903916 4.0 -0.4 -0.18 -0.31400000000000006 -0.34120000000000006 -0.3655 2.0 -1.0 -0.5 -0.23399999999999993 -0.2892 -0.3014 2.0 -0.6000000000000001 -0.01999999999999999 -0.298 -0.2254 -0.09419999999999999
4.039191 0.0 0.4 0.06000000000000001 -0.17000000000000004 -0.2456 -0.23942 -2.0 -1.2000000000000002 -0.48 -0.096 -0.1838 -0.19180000000000003 0.0 0.0 -0.68 -0.37 0.0454 -0.15198
4.4879894 0.0 0.8 0.3 -0.22199999999999998 -0.19019999999999998 -0.1847 4.0 -0.39999999999999997 -0.5800000000000001 -0.09000000000000001 -0.11599999999999996 -0.1491 0.0 -0.2 -0.4 -0.376 -0.11220000000000001 -0.36724
4.9367886 0.0 -0.19999999999999996 -0.39999999999999997 -0.21800000000000003 -0.15680000000000002 -0.16158 4.0 0.4 -0.12 -0.10999999999999999 -0.13779999999999998 -0.1336 2.0 1.0 -0.04000000000000001 -0.268 -0.2028 -0.19867999999999997
5.3855877 -2.0 -1.0 -0.14 -0.182 -0.08060000000000002 -0.08112 -2.0 0.7999999999999999 0.0 -0.086 -0.0778 -0.06708 -4.0 -0.4 -0.13999999999999999 -0.256 -0.06199999999999999 -0.0914
5.8343863 2.0 0.4 -0.6 0.055999999999999994 -0.028200000000000017 -0.0348 -2.0 -0.2 0.20000000000000004 -0.06800000000000002 -0.041400000000000006 -0.021199999999999983 -2.0 -0.4 0.15999999999999998 -0.224 0.0030000000000000027 -0.08888
6.2831855 0.0 -0.4 -0.14 -0.10799999999999998 -0.2114 -0.1648 4.0 -0.6000000000000001 -0.30000000000000004 -0.15799999999999997 -0.12639999999999998 -0.14636000000000002 2.0 -0.8 0.1 -0.338 -0.416 -0.1265
