x y z
-3.141592653589793116e+00 -3.141592653589793116e+00 7.479326674947972542e-01
-2.810898690054025373e+00 -3.141592653589793116e+00 7.706607637639186770e-01
-2.480204726518257630e+00 -3.141592653589793116e+00 7.353527235623671388e-01
-2.149510762982489886e+00 -3.141592653589793116e+00 6.458347209066717109e-01
-1.818816799446722365e+00 -3.141592653589793116e+00 5.118074203995059968e-01
-1.488122835910954622e+00 -3.141592653589793116e+00 3.477947596986611378e-01
-1.157428872375187101e+00 -3.141592653589793116e+00 1.715700555097170454e-01
-8.267349088394193579e-01 -3.141592653589793116e+00 2.229988939566662776e-03
-4.960409453036516148e-01 -3.141592653589793116e+00 -1.418748162170530014e-01
-1.653469817678838716e-01 -3.141592653589793116e+00 -2.451283683049828577e-01
1.653469817678838716e-01 -3.141592653589793116e+00 -2.963415428115621642e-01
4.960409453036516148e-01 -3.141592653589793116e+00 -2.899645976247272605e-01
8.267349088394189138e-01 -3.141592653589793116e+00 -2.266885737039662230e-01
1.157428872375186657e+00 -3.141592653589793116e+00 -1.133704100697687789e-01
1.488122835910954400e+00 -3.141592653589793116e+00 3.771011193562545660e-02
1.818816799446722143e+00 -3.141592653589793116e+00 2.101810734970970262e-01
2.149510762982489886e+00 -3.141592653589793116e+00 3.853525697667587457e-01
2.480204726518257630e+00 -3.141592653589793116e+00 5.442420510579735193e-01
2.810898690054025373e+00 -3.141592653589793116e+00 6.696313766485134655e-01
3.141592653589793116e+00 -3.141592653589793116e+00 7.479326674947968101e-01
-3.141592653589793116e+00 -2.810898690054025373e+00 7.430977241814916701e-01
-2.810898690054025373e+00 -2.810898690054025373e+00 7.699495960548128348e-01
-2.480204726518257630e+00 -2.810898690054025373e+00 7.402807396331769763e-01
-2.149510762982489886e+00 -2.810898690054025373e+00 6.573062358696013519e-01
-1.818816799446722365e+00 -2.810898690054025373e+00 5.300176597289543157e-01
-1.488122835910954622e+00 -2.810898690054025373e+00 3.722087035218331064e-01
-1.157428872375187101e+00 -2.810898690054025373e+00 2.009804163115266884e-01
-8.267349088394193579e-01 -2.810898690054025373e+00 3.488803989790262294e-02
-4.960409453036516148e-01 -2.810898690054025373e+00 -1.080697395458749543e-01
-1.653469817678838716e-01 -2.810898690054025373e+00 -2.124012283985665106e-01
1.653469817678838716e-01 -2.810898690054025373e+00 -2.668004909731414021e-01
4.960409453036516148e-01 -2.810898690054025373e+00 -2.653725230781119881e-01
8.267349088394189138e-01 -2.810898690054025373e+00 -2.082720671921096112e-01
1.157428872375186657e+00 -2.810898690054025373e+00 -1.016868437152451676e-01
1.488122835910954400e+00 -2.810898690054025373e+00 4.283298454862066729e-02
1.818816799446722143e+00 -2.810898690054025373e+00 2.096264517509104919e-01
2.149510762982489886e+00 -2.810898690054025373e+00 3.806188976529610302e-01
2.480204726518257630e+00 -2.810898690054025373e+00 5.372806375201135687e-01
2.810898690054025373e+00 -2.810898690054025373e+00 6.626349409804073165e-01
3.141592653589793116e+00 -2.810898690054025373e+00 7.430977241814928913e-01
-3.141592653589793116e+00 -2.480204726518257630e+00 7.025707132345910821e-01
-2.810898690054025373e+00 -2.480204726518257630e+00 7.413470368468286775e-01
-2.480204726518257630e+00 -2.480204726518257630e+00 7.279846387014257125e-01
-2.149510762982489886e+00 -2.480204726518257630e+00 6.639315419764028059e-01
-1.818816799446722365e+00 -2.480204726518257630e+00 5.561288935881174567e-01
-1.488122835910954622e+00 -2.480204726518257630e+00 4.162587832198774151e-01
-1.157428872375187101e+00 -2.480204726518257630e+00 2.594783076384615805e-01
-8.267349088394193579e-01 -2.480204726518257630e+00 1.027770640728378759e-01
-4.960409453036516148e-01 -2.480204726518257630e+00 -3.686393626633327480e-02
-1.653469817678838716e-01 -2.480204726518257630e+00 -1.443124242389385858e-01
1.653469817678838716e-01 -2.480204726518257630e+00 -2.079246889380762520e-01
4.960409453036516148e-01 -2.480204726518257630e+00 -2.208073544376054631e-01
8.267349088394189138e-01 -2.480204726518257630e+00 -1.815643840354998484e-01
1.157428872375186657e+00 -2.480204726518257630e+00 -9.444836249225657676e-02
1.488122835910954400e+00 -2.480204726518257630e+00 3.110033751356799936e-02
1.818816799446722143e+00 -2.480204726518257630e+00 1.814765662475409935e-01
2.149510762982489886e+00 -2.480204726518257630e+00 3.403847259987381468e-01
2.480204726518257630e+00 -2.480204726518257630e+00 4.906046519439672404e-01
2.810898690054025373e+00 -2.480204726518257630e+00 6.158576842047513988e-01
3.141592653589793116e+00 -2.480204726518257630e+00 7.025707132345925254e-01
-3.141592653589793116e+00 -2.149510762982489886e+00 6.307433651315587086e-01
-2.810898690054025373e+00 -2.149510762982489886e+00 6.879526172445822318e-01
-2.480204726518257630e+00 -2.149510762982489886e+00 6.997968940967316254e-01
-2.149510762982489886e+00 -2.149510762982489886e+00 6.649926845081867155e-01
-1.818816799446722365e+00 -2.149510762982489886e+00 5.873115646308193494e-01
-1.488122835910954622e+00 -2.149510762982489886e+00 4.751714891501047644e-01
-1.157428872375187101e+00 -2.149510762982489886e+00 3.407245752769371694e-01
-8.267349088394193579e-01 -2.149510762982489886e+00 1.985402322882815485e-01
-4.960409453036516148e-01 -2.149510762982489886e+00 6.402633996436024599e-02
-1.653469817678838716e-01 -2.149510762982489886e+00 -4.824043426344265528e-02
1.653469817678838716e-01 -2.149510762982489886e+00 -1.260942434090602249e-01
4.960409453036516148e-01 -2.149510762982489886e+00 -1.610984192252406522e-01
8.267349088394189138e-01 -2.149510762982489886e+00 -1.494597161165583388e-01
1.157428872375186657e+00 -2.149510762982489886e+00 -9.243936815791903294e-02
1.488122835910954400e+00 -2.149510762982489886e+00 3.783585187490390300e-03
1.818816799446722143e+00 -2.149510762982489886e+00 1.287818938717502082e-01
2.149510762982489886e+00 -2.149510762982489886e+00 2.690100516003184894e-01
2.480204726518257630e+00 -2.149510762982489886e+00 4.092721616192490086e-01
2.810898690054025373e+00 -2.149510762982489886e+00 5.343686479171119164e-01
3.141592653589793116e+00 -2.149510762982489886e+00 6.307433651315579315e-01
-3.141592653589793116e+00 -1.818816799446722365e+00 5.353992875554925979e-01
-2.810898690054025373e+00 -1.818816799446722365e+00 6.155524511117613784e-01
-2.480204726518257630e+00 -1.818816799446722365e+00 6.587720853249436903e-01
-2.149510762982489886e+00 -1.818816799446722365e+00 6.603746722063139618e-01
-1.818816799446722365e+00 -1.818816799446722365e+00 6.201865466005845873e-01
-1.488122835910954622e+00 -1.818816799446722365e+00 5.425627155001564450e-01
-1.157428872375187101e+00 -1.818816799446722365e+00 4.359149254625891423e-01
-8.267349088394193579e-01 -1.818816799446722365e+00 3.118001193494295831e-01
-4.960409453036516148e-01 -1.818816799446722365e+00 1.836680622426724585e-01
-1.653469817678838716e-01 -1.818816799446722365e+00 6.540385070355425601e-02
1.653469817678838716e-01 -1.818816799446722365e+00 -3.017675288934790201e-02
4.960409453036516148e-01 -1.818816799446722365e+00 -9.271610705086968940e-02
8.267349088394189138e-01 -1.818816799446722365e+00 -1.154371023595499590e-01
1.157428872375186657e+00 -1.818816799446722365e+00 -9.587756642112421623e-02
1.488122835910954400e+00 -1.818816799446722365e+00 -3.615707845199117587e-02
1.818816799446722143e+00 -1.818816799446722365e+00 5.725272001754544426e-02
2.149510762982489886e+00 -1.818816799446722365e+00 1.742294279209503638e-01
2.480204726518257630e+00 -1.818816799446722365e+00 3.020968038762548158e-01
2.810898690054025373e+00 -1.818816799446722365e+00 4.269984336319347373e-01
3.141592653589793116e+00 -1.818816799446722365e+00 5.353992875554951514e-01
-3.141592653589793116e+00 -1.488122835910954622e+00 4.268704907275576166e-01
-2.810898690054025373e+00 -1.488122835910954622e+00 5.319922198531850110e-01
-2.480204726518257630e+00 -1.488122835910954622e+00 6.093558869819739598e-01
-2.149510762982489886e+00 -1.488122835910954622e+00 6.505779383595373666e-01
-1.818816799446722365e+00 -1.488122835910954622e+00 6.511913250930905228e-01
-1.488122835910954622e+00 -1.488122835910954622e+00 6.111295772123807035e-01
-1.157428872375187101e+00 -1.488122835910954622e+00 5.347340067223406157e-01
-8.267349088394193579e-01 -1.488122835910954622e+00 4.302832590849885452e-01
-4.960409453036516148e-01 -1.488122835910954622e+00 3.090961935271580030e-01
-1.653469817678838716e-01 -1.488122835910954622e+00 1.843053090131157035e-01
1.653469817678838716e-01 -1.488122835910954622e+00 6.943363421003367897e-02
4.960409453036516148e-01 -1.488122835910954622e+00 -2.307070249948589558e-02
8.267349088394189138e-01 -1.488122835910954622e+00 -8.318342088029290204e-02
1.157428872375186657e+00 -1.488122835910954622e+00 -1.043903751509046018e-01
1.488122835910954400e+00 -1.488122835910954622e+00 -8.439346275629178162e-02
1.818816799446722143e+00 -1.488122835910954622e+00 -2.535965943848267345e-02
2.149510762982489886e+00 -1.488122835910954622e+00 6.631380620920224178e-02
2.480204726518257630e+00 -1.488122835910954622e+00 1.806926917234604191e-01
2.810898690054025373e+00 -1.488122835910954622e+00 3.053822700875433727e-01
3.141592653589793116e+00 -1.488122835910954622e+00 4.268704907275584493e-01
-3.141592653589793116e+00 -1.157428872375187101e+00 3.169177537818509416e-01
-2.810898690054025373e+00 -1.157428872375187101e+00 4.463269710962932124e-01
-2.480204726518257630e+00 -1.157428872375187101e+00 5.569033109295982165e-01
-2.149510762982489886e+00 -1.157428872375187101e+00 6.366641110921384961e-01
-1.818816799446722365e+00 -1.157428872375187101e+00 6.769660512699686716e-01
-1.488122835910954622e+00 -1.157428872375187101e+00 6.734417908957847088e-01
-1.157428872375187101e+00 -1.157428872375187101e+00 6.264732382656690302e-01
-8.267349088394193579e-01 -1.157428872375187101e+00 5.411501648492711425e-01
-4.960409453036516148e-01 -1.157428872375187101e+00 4.267186495751575936e-01
-1.653469817678838716e-01 -1.157428872375187101e+00 2.955791227111790320e-01
1.653469817678838716e-01 -1.157428872375187101e+00 1.619425868324639861e-01
4.960409453036516148e-01 -1.157428872375187101e+00 4.029063418597911284e-02
8.267349088394189138e-01 -1.157428872375187101e+00 -5.619385853449776480e-02
1.157428872375186657e+00 -1.157428872375187101e+00 -1.170552994315519069e-01
1.488122835910954400e+00 -1.157428872375187101e+00 -1.356984070214258264e-01
1.818816799446722143e+00 -1.157428872375187101e+00 -1.101029113191326347e-01
2.149510762982489886e+00 -1.157428872375187101e+00 -4.304248143905931023e-02
2.480204726518257630e+00 -1.157428872375187101e+00 5.821584449151312457e-02
2.810898690054025373e+00 -1.157428872375187101e+00 1.826991556731890620e-01
3.141592653589793116e+00 -1.157428872375187101e+00 3.169177537818499979e-01
-3.141592653589793116e+00 -8.267349088394193579e-01 2.174561618589332390e-01
-2.810898690054025373e+00 -8.267349088394193579e-01 3.678398637771880808e-01
-2.480204726518257630e+00 -8.267349088394193579e-01 5.070984076686781972e-01
-2.149510762982489886e+00 -8.267349088394193579e-01 6.201409694838184716e-01
-1.818816799446722365e+00 -8.267349088394193579e-01 6.947176336138660702e-01
-1.488122835910954622e+00 -8.267349088394193579e-01 7.227468613241567752e-01
-1.157428872375187101e+00 -8.267349088394193579e-01 7.011912508740014705e-01
-8.267349088394193579e-01 -8.267349088394193579e-01 6.323866871254349986e-01
-4.960409453036516148e-01 -8.267349088394193579e-01 5.237892121734175621e-01
-1.653469817678838716e-01 -8.267349088394193579e-01 3.871670474924472916e-01
1.653469817678838716e-01 -8.267349088394193579e-01 2.373253245370083864e-01
4.960409453036516148e-01 -8.267349088394193579e-01 9.050171902321496598e-02
8.267349088394189138e-01 -8.267349088394193579e-01 -3.739315318854447012e-02
1.157428872375186657e+00 -8.267349088394193579e-01 -1.324998982007115633e-01
1.488122835910954400e+00 -8.267349088394193579e-01 -1.845122244580228443e-01
1.818816799446722143e+00 -8.267349088394193579e-01 -1.877937893561007487e-01
2.149510762982489886e+00 -8.267349088394193579e-01 -1.419889844195102446e-01
2.480204726518257630e+00 -8.267349088394193579e-01 -5.206147099791608168e-02
2.810898690054025373e+00 -8.267349088394193579e-01 7.224370946031882790e-02
3.141592653589793116e+00 -8.267349088394193579e-01 2.174561618589339052e-01
-3.141592653589793116e+00 -4.960409453036516148e-01 1.392639217492715464e-01
-2.810898690054025373e+00 -4.960409453036516148e-01 3.050361938268453255e-01
-2.480204726518257630e+00 -4.960409453036516148e-01 4.653383112702282332e-01
-2.149510762982489886e+00 -4.960409453036516148e-01 6.027990523107948917e-01
-1.818816799446722365e+00 -4.960409453036516148e-01 7.025224127336416879e-01
-1.488122835910954622e+00 -4.960409453036516148e-01 7.537018190695831121e-01
-1.157428872375187101e+00 -4.960409453036516148e-01 7.507911885118132567e-01
-8.267349088394193579e-01 -4.960409453036516148e-01 6.941059330443459796e-01
-4.960409453036516148e-01 -4.960409453036516148e-01 5.897887796594498688e-01
-1.653469817678838716e-01 -4.960409453036516148e-01 4.491441105737863926e-01
1.653469817678838716e-01 -4.960409453036516148e-01 2.874129580096812520e-01
4.960409453036516148e-01 -4.960409453036516148e-01 1.221214018648500987e-01
8.267349088394189138e-01 -4.960409453036516148e-01 -2.881865298966101996e-02
1.157428872375186657e+00 -4.960409453036516148e-01 -1.490505095341063679e-01
1.488122835910954400e+00 -4.960409453036516148e-01 -2.255451805224188422e-01
1.818816799446722143e+00 -4.960409453036516148e-01 -2.500132814159007344e-01
2.149510762982489886e+00 -4.960409453036516148e-01 -2.198033138210410686e-01
2.480204726518257630e+00 -4.960409453036516148e-01 -1.381889964826870654e-01
2.810898690054025373e+00 -4.960409453036516148e-01 -1.401450706106521782e-02
3.141592653589793116e+00 -4.960409453036516148e-01 1.392639217492708803e-01
-3.141592653589793116e+00 -1.653469817678838716e-01 9.081437594635466404e-02
-2.810898690054025373e+00 -1.653469817678838716e-01 2.647217133837286851e-01
-2.480204726518257630e+00 -1.653469817678838716e-01 4.361483761536792403e-01
-2.149510762982489886e+00 -1.653469817678838716e-01 5.865176253863367828e-01
-1.818816799446722365e+00 -1.653469817678838716e-01 6.995346197080425377e-01
-1.488122835910954622e+00 -1.653469817678838716e-01 7.629522141446962724e-01
-1.157428872375187101e+00 -1.653469817678838716e-01 7.698981283137122933e-01
-8.267349088394193579e-01 -1.653469817678838716e-01 7.196196646379215967e-01
-4.960409453036516148e-01 -1.653469817678838716e-01 6.175652748073363618e-01
-1.653469817678838716e-01 -1.653469817678838716e-01 4.747941354971190187e-01
1.653469817678838716e-01 -1.653469817678838716e-01 3.067777149740079090e-01
4.960409453036516148e-01 -1.653469817678838716e-01 1.317231994450658306e-01
8.267349088394189138e-01 -1.653469817678838716e-01 -3.139953808147849523e-02
1.157428872375186657e+00 -1.653469817678838716e-01 -1.649136178845598266e-01
1.488122835910954400e+00 -1.653469817678838716e-01 -2.543507177331165159e-01
1.818816799446722143e+00 -1.653469817678838716e-01 -2.900189400989615640e-01
2.149510762982489886e+00 -1.653469817678838716e-01 -2.680530796392665005e-01
2.480204726518257630e+00 -1.653469817678838716e-01 -1.908334781702798466e-01
2.810898690054025373e+00 -1.653469817678838716e-01 -6.672807769673588796e-02
3.141592653589793116e+00 -1.653469817678838716e-01 9.081437594635549670e-02
-3.141592653589793116e+00 1.653469817678838716e-01 7.735778451009350798e-02
-2.810898690054025373e+00 1.653469817678838716e-01 2.512651219474675846e-01
